experiment,epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
Baseline CNN,1,1.6168011120387487,1.6126879692077636,0.2,0.2
Baseline CNN,2,1.6126315082822527,1.6124663829803467,0.2,0.2
Baseline CNN,3,1.611726553099496,1.61114501953125,0.2,0.2
Baseline CNN,4,1.610025579588754,1.6113934516906738,0.2,0.2
Baseline CNN,5,1.6104014907564437,1.6119050979614258,0.2,0.2
Baseline CNN,6,1.6079139573233467,1.6117197275161743,0.2,0.2
Baseline CNN,7,1.6150985479354858,1.6126742362976074,0.21428571428571427,0.2
Baseline CNN,8,1.6065012795584543,1.61272234916687,0.2,0.2
Baseline CNN,9,1.603118988445827,1.6162919998168945,0.21428571428571427,0.2
Baseline CNN,10,1.6019474302019392,1.6233882427215576,0.22857142857142856,0.25
Baseline CNN,11,1.5974159274782453,1.6219991207122804,0.2571428571428571,0.1
Baseline CNN,12,1.5904929569789341,1.6340895175933838,0.24285714285714285,0.05
Baseline CNN,13,1.5810506309781756,1.6455703496932983,0.2571428571428571,0.15
Baseline CNN,14,1.578751700265067,1.657142996788025,0.2857142857142857,0.15
Baseline CNN,15,1.5604082788739886,1.6845243453979493,0.2857142857142857,0.1
Baseline CNN,16,1.5755796807152884,1.657708501815796,0.3,0.15
Baseline CNN,17,1.6202144180025373,1.6278871536254882,0.21428571428571427,0.2
Baseline CNN,18,1.5810284648622785,1.6427546977996825,0.2857142857142857,0.15
Baseline CNN,19,1.5576092072895595,1.6997395992279052,0.24285714285714285,0.15
Baseline CNN,20,1.5640615020479476,1.7049479961395264,0.2714285714285714,0.15
Baseline CNN,21,1.5516474723815918,1.6721770286560058,0.32857142857142857,0.1
Baseline CNN,22,1.5482805626732963,1.7547365188598634,0.2857142857142857,0.1
Baseline CNN,23,1.527843860217503,1.7239563941955567,0.2857142857142857,0.15
Baseline CNN,24,1.5441924401691982,1.7163978099822998,0.2714285714285714,0.1
Baseline CNN,25,1.5474719558443342,1.7976690769195556,0.2857142857142857,0.15
Baseline CNN,26,1.5284212112426758,1.7232653141021728,0.24285714285714285,0.1
Baseline CNN,27,1.543330659185137,1.8371080875396728,0.2857142857142857,0.15
Baseline CNN,28,1.5356684855052403,1.6970248699188233,0.32857142857142857,0.2
Baseline CNN,29,1.524462570462908,1.77953200340271,0.32857142857142857,0.15
Baseline CNN,30,1.5146377427237374,1.824563193321228,0.35714285714285715,0.05
Dropout,1,1.621681989942278,1.6105592250823975,0.14285714285714285,0.2
Dropout,2,1.608096466745649,1.6102535724639893,0.18571428571428572,0.2
Dropout,3,1.6077336992536273,1.6096789360046386,0.2,0.2
Dropout,4,1.6069017035620554,1.6092339038848877,0.2,0.2
Dropout,5,1.6238902807235718,1.6094438552856445,0.18571428571428572,0.2
Dropout,6,1.6125769240515573,1.608332061767578,0.2,0.2
Dropout,7,1.6064140319824218,1.6083387374877929,0.22857142857142856,0.2
Dropout,8,1.6175993238176618,1.609488606452942,0.15714285714285714,0.2
Dropout,9,1.6067591088158744,1.6085047245025634,0.24285714285714285,0.2
Dropout,10,1.6133264235087803,1.6089577674865723,0.2571428571428571,0.2
Dropout,11,1.609622495515006,1.6084250211715698,0.21428571428571427,0.2
Dropout,12,1.6133810894829885,1.6090210676193237,0.12857142857142856,0.2
Dropout,13,1.6030708721705846,1.6087395191192626,0.18571428571428572,0.2
Dropout,14,1.6083655084882464,1.609126043319702,0.22857142857142856,0.2
Dropout,15,1.6115016630717687,1.6101511478424073,0.17142857142857143,0.25
Dropout,16,1.6089959859848022,1.6102658748626708,0.22857142857142856,0.2
Dropout,17,1.608668807574681,1.6095526695251465,0.14285714285714285,0.15
Dropout,18,1.6127759490694318,1.6102925062179565,0.24285714285714285,0.2
Dropout,19,1.613694248880659,1.6116171836853028,0.18571428571428572,0.2
Dropout,20,1.6061168909072876,1.608858060836792,0.2,0.2
Dropout,21,1.6137631143842424,1.6115142345428466,0.15714285714285714,0.2
Dropout,22,1.5970154898507254,1.6096771240234375,0.2571428571428571,0.15
Dropout,23,1.597286329950605,1.6082865238189696,0.2857142857142857,0.2
Dropout,24,1.6009510687419346,1.6119487524032592,0.22857142857142856,0.2
Dropout,25,1.597487725530352,1.613599419593811,0.2857142857142857,0.05
Dropout,26,1.5975966010774885,1.6082075595855714,0.3,0.25
Dropout,27,1.6043299913406373,1.606220531463623,0.14285714285714285,0.2
Dropout,28,1.5912358113697598,1.6175316095352172,0.24285714285714285,0.2
Dropout,29,1.5970771278653826,1.611956787109375,0.2714285714285714,0.2
Dropout,30,1.595279461996896,1.603653359413147,0.24285714285714285,0.2
Batch Normalization,1,1.6808144535337175,1.625431489944458,0.12857142857142856,0.2
